epoch,loss
0,1.1
1,1.46
2,1.13
3,1.29
4,1.07
5,1.02
6,1.24
7,1.18
8,1.33
9,0.95
10,1.03
11,0.96
12,1.22
13,1.26
14,1.07
15,1.05
16,1.12
17,1.32
18,1.03
19,1.2
20,1.09
21,1.23
22,1.13
23,1.11
24,1.12
25,0.94
26,1.13
27,0.96
28,1.03
29,1.11
30,0.99
31,1.11
32,0.91
33,0.95
34,0.93
35,0.9
36,1.13
37,1.15
38,0.99
39,0.83
40,1.12
41,0.89
42,1.1
43,1.02
44,1.31
45,1.07
46,1.0
47,0.89
48,1.2
49,1.05
50,1.03
51,1.17
52,0.98
53,0.91
54,1.21
55,0.8
56,1.21
57,0.98
58,1.0
59,0.9
60,1.11
61,0.96
62,0.99
63,0.98
64,0.94
65,1.09
66,0.98
67,1.07
68,0.95
69,1.0
70,0.93
71,1.12
72,0.95
73,1.18
74,0.99
75,1.06
76,0.84
77,1.04
78,1.06
79,0.94
80,0.98
81,1.04
82,0.93
83,0.95
84,1.09
85,1.13
86,1.15
87,0.93
88,0.76
89,1.09
90,0.94
91,0.87
92,0.71
93,0.83
94,1.01
95,0.99
96,0.78
97,1.12
98,1.11
99,0.84
100,0.79
101,1.08
102,0.96
103,0.96
104,1.04
105,0.92
106,1.0
107,1.0
108,0.91
109,0.96
110,1.03
111,0.97
112,0.98
113,0.82
114,1.12
115,1.04
116,1.01
117,0.99
118,1.06
119,0.99
120,0.98
121,1.04
122,0.96
123,0.91
124,1.05
125,1.02
126,0.95
127,0.89
128,0.98
129,1.05
130,1.11
131,0.9
132,0.91
133,0.82
134,0.84
135,0.86
136,0.83
137,1.01
138,0.73
139,0.75
140,0.99
141,0.94
142,0.99
143,0.86
144,0.85
145,0.83
146,0.9
147,0.84
148,0.94
149,0.94
150,0.92
151,0.99
152,0.81
153,0.8
154,0.77
155,0.87
156,1.02
157,0.91
158,1.24
159,0.89
160,1.04
161,0.94
162,1.27
163,1.03
164,1.07
165,0.88
166,0.76
167,0.87
168,0.79
169,0.91
170,0.9
171,0.84
172,0.72
173,0.99
174,0.92
175,0.96
176,0.94
177,0.99
178,0.98
179,0.86
180,0.88
181,1.0
182,0.82
183,0.86
184,0.74
185,0.88
186,1.07
187,0.91
188,0.86
189,1.05
190,0.9
191,0.89
192,0.8
193,0.95
194,1.03
195,0.96
196,0.96
197,0.88
198,0.87
199,0.91
200,1.0
201,1.07
202,1.06
203,0.91
204,0.81
205,1.07
206,0.74
207,0.84
208,0.77
209,1.06
210,0.86
211,0.99
212,1.0
213,0.96
214,1.07
215,0.92
216,0.9
217,0.94
218,1.12
219,0.77
220,0.95
221,0.8
222,0.88
223,0.92
224,1.11
225,0.85
226,0.79
227,0.86
228,0.93
229,1.06
230,0.89
231,0.86
232,0.91
233,0.75
234,0.79
235,1.21
236,0.96
237,0.89
238,0.91
239,0.85
240,0.86
241,0.83
242,0.85
243,1.08
244,1.13
245,0.99
246,0.87
247,0.81
248,0.75
249,1.07
250,0.87
251,0.95
252,0.97
253,0.89
254,0.73
255,0.88
256,0.87
257,0.92
258,0.97
259,0.78
260,0.83
261,1.01
262,0.99
263,0.88
264,0.78
265,0.73
266,0.79
267,0.98
268,0.98
269,0.81
270,0.71
271,0.78
272,0.86
273,0.96
274,0.85
275,1.03
276,0.91
277,1.11
278,0.86
279,1.13
280,0.91
281,1.03
282,0.85
283,0.94
284,0.73
285,0.89
286,0.87
287,0.98
288,0.84
289,0.9
290,0.76
291,0.93
292,0.86
293,1.03
294,0.88
295,0.9
296,0.93
297,0.91
298,0.82
299,0.85
300,0.91
301,0.84
302,0.82
303,0.91
304,0.85
305,0.89
306,0.8
307,0.99
308,1.04
309,0.87
310,0.75
311,1.01
312,0.92
313,0.74
314,1.07
315,1.01
316,0.81
317,0.73
318,0.93
319,1.16
320,0.78
321,1.01
322,0.9
323,1.12
324,0.91
325,0.83
326,0.93
327,0.89
328,1.01
329,0.81
330,0.78
331,1.14
332,1.13
333,0.82
334,0.97
335,0.81
336,0.88
337,0.79
338,0.86
339,0.88
340,0.97
341,0.91
342,0.95
343,0.93
344,0.63
345,0.96
346,0.7
347,0.8
348,0.96
349,1.12
350,0.83
351,1.06
352,0.86
353,0.85
354,0.64
355,0.92
356,0.89
357,0.85
358,0.97
359,0.91
360,0.88
361,1.13
362,0.85
363,0.92
364,0.88
365,0.86
366,0.95
367,0.83
368,0.93
369,0.87
370,0.88
371,1.06
372,0.7
373,0.9
374,0.94
375,0.88
376,0.99
377,1.03
378,0.88
379,0.89
380,1.07
381,0.77
382,0.98
383,0.88
384,0.69
385,1.13
386,0.97
387,1.06
388,0.96
389,0.89
390,0.78
391,0.87
392,0.77
393,0.97
394,0.81
395,0.95
396,1.13
397,1.08
398,0.86
399,1.11
400,1.13
401,0.99
402,0.96
403,0.84
404,1.01
405,1.07
406,0.85
407,0.7
408,0.91
409,1.14
410,0.84
411,0.93
412,0.98
413,1.0
414,0.73
415,0.88
416,0.86
417,0.95
418,0.92
419,0.85
420,0.86
421,0.74
422,0.89
423,0.92
424,0.81
425,0.74
426,0.9
427,0.78
428,0.9
429,0.8
430,0.97
431,0.84
432,0.89
433,0.94
434,0.94
435,1.11
436,1.01
437,0.98
438,0.79
439,1.09
440,0.77
441,0.87
442,1.07
443,0.9
444,0.88
445,1.02
446,0.91
447,1.03
448,0.8
449,0.89
450,0.91
451,0.84
452,0.98
453,0.81
454,0.82
455,1.01
456,1.04
457,0.82
458,1.09
459,1.1
460,0.85
461,0.66
462,0.81
463,0.95
464,0.98
465,0.81
466,0.84
467,0.88
468,0.89
469,0.9
470,0.95
471,1.08
472,0.91
473,0.84
474,0.89
475,0.8
476,1.02
477,0.81
478,0.81
479,1.04
480,0.87
481,0.85
482,0.81
483,0.74
484,0.93
485,0.74
486,0.84
487,0.85
488,0.88
489,0.97
490,0.81
491,0.86
492,0.91
493,0.86
494,0.7
495,0.84
496,0.8
497,0.77
498,1.0
499,0.99
500,0.9
501,0.87
502,0.9
503,0.9
504,0.88
505,0.93
506,0.84
507,0.94
508,0.95
509,1.01
510,0.92
511,1.05
512,0.9
513,0.94
514,1.02
515,0.91
516,0.97
517,1.06
518,0.83
519,0.97
520,0.87
521,0.93
522,0.8
523,0.96
524,0.73
525,1.02
526,0.86
527,0.97
528,1.13
529,0.98
530,0.77
531,0.88
532,0.7
533,0.84
534,1.0
535,0.83
536,0.95
537,1.03
538,0.72
539,0.7
540,0.99
541,0.93
542,0.94
543,0.86
544,0.95
545,0.89
