0,-195,68,145
1,-200,50,132
2,-207,93,115
3,-204,69,158
4,-212,71,122
5,-210,58,113
6,-210,53,106
7,-208,71,108
8,-207,78,113
9,-206,71,105
10,-197,64,108
11,-188,63,107
12,-165,63,114
13,-147,63,124
14,-147,61,122
15,-157,77,104
16,-173,62,102
17,-187,82,105
18,-186,83,128
19,-199,82,133
20,-188,106,173
21,-194,81,150
22,-201,79,174
23,-201,47,168
24,-188,44,168
25,-184,63,178
26,-184,75,160
27,-201,68,150
28,-208,54,181
29,-228,45,160
30,-212,72,172
31,-199,47,173
32,-186,34,179
33,-175,26,180
34,-170,49,163
35,-167,46,182
36,-175,34,177
37,-171,46,180
38,-173,39,163
39,-171,49,164
40,-175,32,169
41,-174,50,171
42,-173,36,177
43,-174,40,163
44,-168,46,174
45,-172,47,164
46,-174,44,162
47,-172,40,177
48,-172,44,176
49,-170,42,182
50,-171,45,170
51,-169,50,172
52,-171,40,171
53,-170,44,170
54,-170,47,171
55,-172,43,167
56,-170,51,172
57,-169,43,169
58,-171,45,164
59,-171,43,174
