0,-82,191,93
1,-74,167,164
2,-85,158,159
3,-85,157,167
4,-85,179,158
5,-83,181,159
6,-83,182,149
7,-84,178,143
8,-86,181,144
9,-92,183,141
10,-86,184,164
11,-91,182,141
12,-90,184,154
13,-90,172,161
14,-98,187,149
15,-120,206,170
16,-135,241,149
17,-122,300,154
18,-131,276,144
19,-127,234,143
20,-100,204,127
21,-54,163,139
22,-37,104,141
23,-37,42,189
24,-63,51,125
25,-64,87,117
26,-46,130,100
27,-60,136,88
28,-40,122,163
29,-27,125,103
30,-68,169,167
31,-64,186,102
32,-115,141,153
33,-164,95,103
34,-175,257,137
35,-226,221,236
36,-265,210,207
37,-296,97,198
38,-297,84,131
39,-256,104,170
40,-224,96,151
41,-170,132,178
42,-96,189,148
43,-33,222,175
44,-11,206,143
45,-8,206,98
46,3,227,128
47,-14,225,70
48,-12,253,122
49,-40,240,102
50,-52,243,129
51,-77,195,147
52,-114,152,185
53,-173,66,174
54,-217,-33,169
55,-235,-20,152
56,-227,24,130
57,-205,62,121
58,-183,95,143
59,-171,122,146
