0,-86,182,118
1,-68,200,152
2,-70,174,157
3,-65,211,159
4,-76,168,133
5,-70,163,127
6,-49,169,121
7,-35,167,119
8,-19,173,135
9,-22,195,130
10,-26,212,139
11,-25,239,151
12,-48,231,197
13,-85,222,169
14,-115,189,195
15,-150,160,205
16,-179,123,220
17,-189,91,230
18,-194,57,220
19,-200,86,190
20,-190,95,201
21,-197,77,183
22,-188,89,174
23,-185,64,169
24,-168,70,155
25,-174,67,125
26,-161,67,117
27,-155,64,105
28,-148,66,118
29,-140,76,94
30,-128,90,97
31,-119,106,85
32,-100,119,83
33,-96,117,65
34,-75,158,119
35,-66,163,65
36,-41,210,151
37,-17,193,130
38,-31,210,134
39,-13,235,165
40,-13,295,147
41,-44,250,175
42,-30,232,183
43,-61,176,169
44,-62,234,170
45,-97,188,168
46,-113,214,199
47,-143,144,176
48,-144,150,189
49,-132,125,185
50,-124,142,171
51,-102,138,191
52,-97,151,166
53,-85,160,167
54,-85,156,168
55,-83,167,172
56,-80,159,170
57,-82,157,163
58,-78,167,174
59,-83,157,162
