0,-1,-1,243
1,1,0,242
2,0,0,241
3,1,0,242
4,0,0,241
5,0,-1,242
6,-1,-1,242
7,1,-3,243
8,0,-1,241
9,1,-35,241
10,4,-17,241
11,0,-24,241
12,-6,-16,242
13,0,-5,242
14,-1,-15,242
15,3,-5,243
16,12,-13,242
17,1,-7,243
18,1,-9,241
19,2,10,243
20,11,19,242
21,19,18,242
22,27,17,242
23,29,12,243
24,16,11,241
25,17,12,241
26,9,8,243
27,2,9,242
28,6,4,243
29,4,1,242
30,-5,5,240
31,-7,8,241
32,-8,22,240
33,-10,26,242
34,-19,24,240
35,-24,35,240
36,-27,37,242
37,-26,15,242
38,-14,7,241
39,-8,23,242
40,-10,-4,242
41,-1,5,244
42,6,-12,241
43,-7,0,242
44,3,1,241
45,-6,-23,244
46,1,-18,241
47,-7,-17,240
48,0,-14,244
49,-1,-12,241
50,-1,-18,243
51,-1,-29,240
52,1,-20,241
53,1,-1,241
54,0,-1,241
55,1,0,241
56,1,-1,241
57,-1,0,241
58,0,0,241
59,2,-5,242
